timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743658877225,393,Product,200,OK,Thread Group 1-11,text,true,,22049,811,20,20,https://demoblaze.com/prod.html?idp_=9,353,0,0
1743658877646,242,Product,200,OK,Thread Group 1-16,text,true,,22049,811,20,20,https://demoblaze.com/prod.html?idp_=9,146,0,0
1743658877646,384,Product,200,OK,Thread Group 1-8,text,true,,22049,811,20,20,https://demoblaze.com/prod.html?idp_=1,332,0,0
1743658879174,360,Product,200,OK,Thread Group 1-3,text,true,,5495,811,20,20,https://demoblaze.com/prod.html?idp_=6,350,0,0
1743658879567,472,Product,200,OK,Thread Group 1-14,text,true,,22049,811,20,20,https://demoblaze.com/prod.html?idp_=1,361,0,0
1743658885596,411,Add To Cart,200,OK,Thread Group 1-15,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,411,0,0
1743658864939,1058,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-15,,true,,22400,1879,20,20,null,1002,20009,0
1743658885627,385,Add To Cart,200,OK,Thread Group 1-1,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,385,0,0
1743658865070,926,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,22400,1879,20,20,null,827,20016,0
1743658885830,413,Add To Cart,200,OK,Thread Group 1-4,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,413,0,0
1743658865356,806,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,22352,1879,20,20,null,754,20081,0
1743658885876,405,Add To Cart,200,OK,Thread Group 1-10,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,405,0,0
1743658865468,799,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,22352,1879,20,20,null,755,20014,0
1743658885970,409,Add To Cart,200,OK,Thread Group 1-2,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,409,0,0
1743658865555,815,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,22352,1879,20,20,null,773,20009,0
1743658886032,397,Add To Cart,200,OK,Thread Group 1-17,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,397,0,0
1743658865668,749,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-17,,true,,22352,1879,20,20,null,739,20012,0
1743658886141,396,Add To Cart,200,OK,Thread Group 1-7,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,396,0,0
1743658865645,889,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,22400,1879,20,20,null,843,20003,0
1743658886141,404,Add To Cart,200,OK,Thread Group 1-18,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,404,0,0
1743658865774,767,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-18,,true,,5971,1879,20,20,null,760,20004,0
1743658886340,387,Add To Cart,200,OK,Thread Group 1-9,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,387,0,0
1743658865824,898,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,22400,1879,20,20,null,801,20005,0
1743658886432,400,Add To Cart,200,OK,Thread Group 1-13,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,400,0,0
1743658866030,791,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-13,,true,,22352,1879,20,20,null,751,20011,0
1743658886462,383,Add To Cart,200,OK,Thread Group 1-20,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,383,0,0
1743658866026,816,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-20,,true,,22400,1879,20,20,null,776,20004,0
1743658886633,397,Add To Cart,200,OK,Thread Group 1-6,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,397,0,0
1743658886633,397,Add To Cart,200,OK,Thread Group 1-12,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,397,0,0
1743658866279,743,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,5660,1879,20,20,null,734,20008,0
1743658866233,787,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-12,,true,,22352,1879,20,20,null,745,20010,0
1743658886851,371,Add To Cart,200,OK,Thread Group 1-5,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,371,0,0
1743658866451,769,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,22352,1879,20,20,null,727,20002,0
1743658887054,379,Add To Cart,200,OK,Thread Group 1-19,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,379,0,0
1743658866659,771,/prod.html,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-19,,true,,22352,1879,20,20,null,732,20003,0
1743658887627,384,Add To Cart,200,OK,Thread Group 1-11,text,true,,303,1068,20,20,https://api.demoblaze.com/addtocart,384,0,0
